Date,P,D,E,CPI,Rate GS10,Year,Month,Real EPS,Real Price,Real Base EPS,Real Base Price,b
1871.01,4.44,0.26,0.4,12.46406116,5.32,1871,1,8.50050386,94.35559284,0.587288517,6.518902544,0.35
1871.02,4.5,0.26,0.4,12.84464132,5.323333333,1871,2,8.248638273,92.79718058,0.569887459,6.411233911,0.35
1871.03,4.61,0.26,0.4,13.0349719,5.326666667,1871,3,8.128195505,93.67745319,0.561566228,6.472050776,0.35
1871.04,4.74,0.26,0.4,12.55922645,5.33,1871,4,8.436092814,99.96769984,0.582838444,6.90663556,0.35
1871.05,4.86,0.26,0.4,12.27381157,5.333333333,1871,5,8.632265486,104.8820257,0.596391753,7.246159801,0.35
1871.06,4.82,0.26,0.4,12.08348099,5.336666667,1871,6,8.768234922,105.6572308,0.605785701,7.299717695,0.35
1871.07,4.73,0.26,0.4,12.08348099,5.34,1871,7,8.768234922,103.684378,0.605785701,7.163415912,0.35
1871.08,4.79,0.26,0.4,11.8932314,5.343333333,1871,8,8.908495634,106.6792352,0.615476127,7.370326621,0.35
1871.09,4.84,0.26,0.4,12.17864628,5.346666667,1871,9,8.699718964,105.2665995,0.601052024,7.272729494,0.35
1871.1,4.59,0.26,0.4,12.36889587,5.35,1871,10,8.565906053,98.29377196,0.591807068,6.790986106,0.35
1871.11,4.64,0.26,0.4,12.36889587,5.353333333,1871,11,8.565906053,99.36451021,0.591807068,6.86496199,0.35
1871.12,4.74,0.26,0.4,12.65439174,5.356666667,1871,12,8.372650553,99.21590905,0.578455302,6.854695333,0.35
1872.01,4.86,0.2633,0.4025,12.65439174,5.36,1872,1,8.424979619,101.7277042,0.582070648,7.028231924,0.345838509
1872.02,4.88,0.2667,0.405,12.65439174,5.378333333,1872,2,8.477308685,102.1463367,0.585685994,7.057154689,0.341481481
1872.03,5.04,0.27,0.4075,12.84464132,5.396666667,1872,3,8.403300241,103.9328422,0.580572849,7.18058198,0.337423313
1872.04,5.18,0.2733,0.41,13.13013719,5.415,1872,4,8.271015636,104.4972219,0.571433481,7.219574223,0.333414634
1872.05,5.18,0.2767,0.4125,13.13013719,5.433333333,1872,5,8.321448658,104.4972219,0.574917831,7.219574223,0.329212121
1872.06,5.13,0.28,0.415,13.0349719,5.451666667,1872,6,8.433002836,104.2441073,0.582624961,7.202086872,0.325301205
1872.07,5.1,0.2833,0.4175,12.84464132,5.47,1872,7,8.609516198,105.170138,0.594820035,7.266065099,0.321437126
1872.08,5.04,0.2867,0.42,12.93980661,5.488333333,1872,8,8.597372693,103.1684723,0.593981056,7.127772677,0.317380952
1872.09,4.95,0.29,0.4225,13.0349719,5.506666667,1872,9,8.585406502,100.5864194,0.593154328,6.94938207,0.313609467
1872.1,4.97,0.2933,0.425,12.74947603,5.525,1872,10,8.829596192,103.2543366,0.610025069,7.133704929,0.309882353
1872.11,4.95,0.2967,0.4275,13.13013719,5.543333333,1872,11,8.624046791,99.8573839,0.595823934,6.899013977,0.305964912
1872.12,5.07,0.3,0.43,12.93980661,5.561666667,1872,12,8.802072043,103.7825704,0.608123463,7.170199895,0.302325581
1873.01,5.11,0.3025,0.4325,12.93980661,5.58,1873,1,8.85324688,104.6013678,0.611659064,7.22676952,0.300578035
1873.02,5.15,0.305,0.435,13.22522149,5.570833333,1873,2,8.712254467,103.1450816,0.601918086,7.126156645,0.298850575
1873.03,5.11,0.3075,0.4375,13.22522149,5.561666667,1873,3,8.762324895,102.3439548,0.605377385,7.070807855,0.297142857
1873.04,5.04,0.31,0.44,13.22522149,5.5525,1873,4,8.812395323,100.9419828,0.608836684,6.973947474,0.295454545
1873.05,5.05,0.3125,0.4425,12.93980661,5.543333333,1873,5,9.05794623,103.3731717,0.62580147,7.141915083,0.293785311
1873.06,4.98,0.315,0.445,12.55922645,5.534166667,1873,6,9.385153255,105.0293555,0.648407769,7.256338626,0.292134831
1873.07,4.97,0.3175,0.4475,12.55922645,5.525,1873,7,9.437878835,104.8184532,0.652050509,7.241767665,0.290502793
1873.08,4.97,0.32,0.45,12.55922645,5.515833333,1873,8,9.490604415,104.8184532,0.655693249,7.241767665,0.288888889
1873.09,4.59,0.3225,0.4525,12.55922645,5.506666667,1873,9,9.543329995,96.80416504,0.65933599,6.688071143,0.287292818
1873.1,4.19,0.325,0.455,12.27381157,5.4975,1873,10,9.819201991,90.42298097,0.678395619,6.247203614,0.285714286
1873.11,4.04,0.3275,0.4575,11.8932314,5.488333333,1873,11,10.18909188,89.9758059,0.70395082,6.216308883,0.284153005
1873.12,4.42,0.33,0.46,12.17864628,5.479166667,1873,12,10.00467681,96.13189455,0.691209828,6.641624869,0.282608696
1874.01,4.66,0.33,0.46,12.36889587,5.47,1874,1,9.850791961,99.79280552,0.680578128,6.894552343,0.282608696
1874.02,4.8,0.33,0.46,12.36889587,5.436666667,1874,2,9.850791961,102.7908726,0.680578128,7.101684817,0.282608696
1874.03,4.73,0.33,0.46,12.36889587,5.403333333,1874,3,9.850791961,101.2918391,0.680578128,6.99811858,0.282608696
1874.04,4.6,0.33,0.46,12.17864628,5.37,1874,4,10.00467681,100.0467681,0.691209828,6.91209828,0.282608696
1874.05,4.48,0.33,0.46,12.08348099,5.336666667,1874,5,10.08347016,98.20423113,0.696653556,6.784799849,0.282608696
1874.06,4.46,0.33,0.46,11.79806612,5.303333333,1874,6,10.3274061,100.1309374,0.713506766,6.917913425,0.282608696
1874.07,4.46,0.33,0.46,11.8932314,5.27,1874,7,10.24476998,99.32972632,0.707797546,6.862558816,0.282608696
1874.08,4.47,0.33,0.46,11.79806612,5.236666667,1874,8,10.3274061,100.3554462,0.713506766,6.933424442,0.282608696
1874.09,4.54,0.33,0.46,11.79806612,5.203333333,1874,9,10.3274061,101.927008,0.713506766,7.042001558,0.282608696
1874.1,4.53,0.33,0.46,11.60773554,5.17,1874,10,10.49674328,103.3701023,0.725206047,7.141703023,0.282608696
1874.11,4.57,0.33,0.46,11.51265124,5.136666667,1874,11,10.58343708,105.1441466,0.731195606,7.26426939,0.282608696
1874.12,4.54,0.33,0.46,11.51265124,5.103333333,1874,12,10.58343708,104.4539225,0.731195606,7.21658272,0.282608696
1875.01,4.54,0.3275,0.4517,11.51265124,5.07,1875,1,10.39247506,104.4539225,0.718002294,7.21658272,0.274961257
1875.02,4.53,0.325,0.4433,11.51265124,5.03,1875,2,10.1992123,104.2238477,0.704650026,7.200687163,0.26686217
1875.03,4.59,0.3225,0.435,11.51265124,4.99,1875,3,10.00825028,105.6042961,0.691456714,7.296060503,0.25862069
1875.04,4.65,0.32,0.4267,11.60773554,4.95,1875,4,9.736870341,106.1083831,0.672707435,7.330887209,0.250058589
1875.05,4.47,0.3175,0.4183,11.32232066,4.91,1875,5,9.785807382,104.5722185,0.67608843,7.224755636,0.240975377
1875.06,4.38,0.315,0.41,11.13207107,4.87,1875,6,9.755558451,104.2179171,0.673998572,7.200277423,0.231707317
1875.07,4.39,0.3125,0.4017,11.13207107,4.83,1875,7,9.558067877,104.4558576,0.66035421,7.216716413,0.222056261
1875.08,4.41,0.31,0.3933,11.22715537,4.79,1875,8,9.278942053,104.0430573,0.641069778,7.188196595,0.21179761
1875.09,4.37,0.3075,0.385,11.13207107,4.75,1875,9,9.160707326,103.9799767,0.632901098,7.183838434,0.201298701
1875.1,4.3,0.305,0.3767,11.13207107,4.71,1875,10,8.963216752,102.3143935,0.619256736,7.068765507,0.190337138
1875.11,4.37,0.3025,0.3683,11.03690579,4.67,1875,11,8.838908382,104.8765399,0.610668436,7.245780794,0.178658702
1875.12,4.37,0.3,0.36,10.9417405,4.63,1875,12,8.714858482,105.7886988,0.602097993,7.308800643,0.166666667
1876.01,4.46,0.3,0.3533,10.84657521,4.59,1876,1,8.627704348,108.914694,0.59607663,7.524771499,0.150863289
1876.02,4.52,0.3,0.3467,10.84657521,4.578333333,1876,2,8.466530137,110.3799141,0.584941318,7.626001609,0.134698587
1876.03,4.51,0.3,0.34,10.84657521,4.566666667,1876,3,8.302913893,110.1357108,0.573637289,7.609129924,0.117647059
1876.04,4.34,0.3,0.3333,10.75149091,4.555,1876,4,8.211280169,106.92156,0.567306437,7.387068516,0.099909991
1876.05,4.18,0.3,0.3267,10.37091074,4.543333333,1876,5,8.344042107,106.7587879,0.576478783,7.37582281,0.081726354
1876.06,4.15,0.3,0.32,10.08541488,4.531666667,1876,6,8.404278952,108.9929927,0.580640466,7.530181049,0.0625
1876.07,4.1,0.3,0.3133,10.08541488,4.52,1876,7,8.228314362,107.6798241,0.568483307,7.439455976,0.042451325
1876.08,3.93,0.3,0.3067,10.18058017,4.508333333,1876,8,7.979680386,102.2502247,0.551305516,7.06433217,0.021845452
1876.09,3.69,0.3,0.3,10.27574545,4.496666667,1876,9,7.733074003,95.11681024,0.534267808,6.571494042,0
1876.1,3.67,0.3,0.2933,10.46599504,4.485,1876,10,7.422937217,92.88162151,0.51284087,6.417067822,-0.022843505
1876.11,3.6,0.3,0.2867,10.56116033,4.473333333,1876,11,7.190520125,90.28905634,0.496783482,6.237950939,-0.046389955
1876.12,3.58,0.3,0.28,10.75149091,4.461666667,1876,12,6.898165159,88.19796882,0.476585066,6.093480481,-0.071428571
1877.01,3.55,0.2908,0.2817,10.9417405,4.45,1877,1,6.819376762,85.9381878,0.47114168,5.937355213,-0.032303869
1877.02,3.34,0.2817,0.2833,10.65632562,4.440833333,1877,2,7.041794402,83.02009638,0.486508219,5.735748154,0.005647723
1877.03,3.17,0.2725,0.285,10.18058017,4.431666667,1877,3,7.415092631,82.47664435,0.512298898,5.698201775,0.043859649
1877.04,2.94,0.2633,0.2867,10.46599504,4.4225,1877,4,7.255902149,74.40653058,0.501300639,5.140648337,0.081618416
1877.05,2.94,0.2542,0.2883,10.65632562,4.413333333,1877,5,7.166075984,73.07756987,0.495094668,5.048832207,0.11827957
1877.06,2.73,0.245,0.29,10.08541488,4.404166667,1877,6,7.6163778,71.69900481,0.526205423,4.953588979,0.155172414
1877.07,2.85,0.2358,0.2917,10.18058017,4.395,1877,7,7.589412353,74.15092631,0.524342416,5.122988978,0.191635242
1877.08,3.05,0.2267,0.2933,9.8,4.385833333,1877,8,7.927390214,82.43620918,0.547692857,5.695408163,0.227071258
1877.09,3.24,0.2175,0.295,9.704834711,4.376666667,1877,9,8.051524557,88.43030361,0.556269134,6.109532183,0.262711864
1877.1,3.31,0.2083,0.2967,9.704834711,4.3675,1877,10,8.097923173,90.34083486,0.559474753,6.241528249,0.297944051
1877.11,3.26,0.1992,0.2983,9.514585124,4.358333333,1877,11,8.30438827,90.75529923,0.573739152,6.270163042,0.33221589
1877.12,3.25,0.19,0.3,9.514585124,4.349166667,1877,12,8.351714653,90.47690874,0.577008869,6.250929413,0.366666667
1878.01,3.25,0.1892,0.3008,9.229089256,4.34,1878,1,8.633029694,93.27575302,0.596444551,6.444297845,0.371010638
1878.02,3.18,0.1883,0.3017,9.134004959,4.33,1878,2,8.748997976,92.21681659,0.604456646,6.371137334,0.37587007
1878.03,3.24,0.1875,0.3025,8.94367438,4.32,1878,3,8.958878543,95.95625283,0.618957015,6.629490015,0.380165289
1878.04,3.33,0.1867,0.3033,8.848509091,4.31,1878,4,9.079178568,99.68237597,0.627268384,6.886922912,0.38443785
1878.05,3.34,0.1858,0.3042,8.563094215,4.3,1878,5,9.409634109,103.3141944,0.650099118,7.137840419,0.38921762
1878.06,3.41,0.185,0.305,8.372844628,4.29,1878,6,9.648750047,107.8761891,0.666619321,7.453022571,0.393442623
1878.07,3.48,0.1842,0.3058,8.467928926,4.28,1878,7,9.565430616,108.8544753,0.660862892,7.520611068,0.39764552
1878.08,3.45,0.1833,0.3067,8.563094215,4.27,1878,8,9.486965092,106.7167576,0.655441813,7.372918996,0.402347571
1878.09,3.52,0.1825,0.3075,8.563094215,4.26,1878,9,9.511711007,108.8820252,0.657151476,7.522514454,0.406504065
1878.1,3.48,0.1817,0.3083,8.467928926,4.25,1878,10,9.64363067,108.8544753,0.66626563,7.520611068,0.410638988
1878.11,3.47,0.1808,0.3092,8.372844628,4.24,1878,11,9.781618081,109.7743038,0.675798997,7.584160799,0.415265201
1878.12,3.45,0.18,0.31,8.18251405,4.23,1878,12,10.03504174,111.6803032,0.6933077,7.715843763,0.419354839
1879.01,3.58,0.1817,0.3158,8.277679339,4.22,1879,1,10.10526661,114.5562205,0.698159443,7.914537072,0.424635845
1879.02,3.71,0.1833,0.3217,8.372844628,4.203333333,1879,2,10.17705866,117.3667629,0.703119461,8.108713707,0.430214486
1879.03,3.65,0.185,0.3275,8.277679339,4.186666667,1879,3,10.47965425,116.7961467,0.724025389,8.06929059,0.435114504
1879.04,3.77,0.1867,0.3333,8.18251405,4.17,1879,4,10.78928842,122.039056,0.745417602,8.431516228,0.439843984
1879.05,3.94,0.1883,0.3392,8.18251405,4.153333333,1879,5,10.98027793,127.5421434,0.758612813,8.811717225,0.444870283
1879.06,3.96,0.19,0.345,8.087381157,4.136666667,1879,6,11.29940128,129.6974756,0.780660621,8.960626264,0.449275362
1879.07,4.04,0.1917,0.3508,8.18251405,4.12,1879,7,11.35578271,130.7792536,0.78455594,9.035364871,0.453534778
1879.08,4.07,0.1933,0.3567,8.18251405,4.103333333,1879,8,11.54677222,131.7503867,0.797751151,9.102459164,0.458088029
1879.09,4.22,0.195,0.3625,8.467928926,4.086666667,1879,9,11.33900784,132.0016913,0.783396986,9.119821467,0.462068966
1879.1,4.68,0.1967,0.3683,8.94367438,4.07,1879,10,10.90761973,138.6034763,0.753592954,9.575930022,0.465924518
1879.11,4.93,0.1983,0.3742,9.419419835,4.053333333,1879,11,10.52261977,138.6331253,0.726993819,9.57797843,0.470069482
1879.12,4.92,0.2,0.38,9.704834711,4.036666667,1879,12,10.37145536,134.2830536,0.716550071,9.27743776,0.473684211
1880.01,5.11,0.205,0.3892,9.990330579,4.02,1880,1,10.31899071,135.4831514,0.712925358,9.360350917,0.47327852
1880.02,5.2,0.21,0.3983,9.990330579,3.993333333,1880,2,10.56026207,137.8693517,0.729594476,9.525210327,0.472759227
1880.03,5.3,0.215,0.4075,10.08541488,3.966666667,1880,3,10.70232398,139.1958701,0.739409344,9.616857725,0.472392638
1880.04,5.18,0.22,0.4167,9.704834711,3.94,1880,4,11.3731196,141.3793126,0.785753722,9.767708861,0.472042237
1880.05,4.77,0.225,0.4258,9.419419835,3.913333333,1880,5,11.97362774,134.1338758,0.827242032,9.26713126,0.471582903
1880.06,4.79,0.23,0.435,9.229089256,3.886666667,1880,6,12.48460079,137.4741098,0.862544481,9.497903592,0.471264368
1880.07,5.01,0.235,0.4442,9.229089256,3.86,1880,7,12.74864292,143.7881608,0.880786801,9.934132985,0.470959027
1880.08,5.19,0.24,0.4533,9.229089256,3.833333333,1880,8,13.00981503,148.9542025,0.898830835,10.29104794,0.470549305
1880.09,5.18,0.245,0.4625,9.324254545,3.806666667,1880,9,13.1383814,147.1498717,0.907713315,10.16638912,0.47027027
1880.1,5.33,0.25,0.4717,9.324254545,3.78,1880,10,13.39972866,151.4109684,0.92576945,10.46078263,0.47000212
1880.11,5.61,0.255,0.4808,9.419419835,3.753333333,1880,11,13.52024475,157.7549357,0.934095746,10.8990789,0.469633943
1880.12,5.84,0.26,0.49,9.514585124,3.726666667,1880,12,13.64113393,162.5800453,0.942447819,11.23243931,0.469387755
1881.01,6.19,0.265,0.4858,9.419419835,3.7,1881,1,13.6608463,174.0647151,0.94380972,12.02589989,0.454508028
1881.02,6.17,0.27,0.4817,9.514585124,3.693333333,1881,2,13.41006983,171.7669314,0.926483907,11.86714907,0.439485157
1881.03,6.24,0.275,0.4775,9.514585124,3.686666667,1881,3,13.29314582,173.7156648,0.918405783,12.00178447,0.42408377
1881.04,6.22,0.28,0.4733,9.609669421,3.68,1881,4,13.04584774,171.4455376,0.901320287,11.8449444,0.408409043
1881.05,6.5,0.285,0.4692,9.514585124,3.673333333,1881,5,13.06208172,180.9538175,0.902441871,12.50185883,0.39258312
1881.06,6.58,0.29,0.465,9.514585124,3.666666667,1881,6,12.94515771,183.1809414,0.894363747,12.65572786,0.376344086
1881.07,6.35,0.295,0.4608,9.609669421,3.66,1881,7,12.70130285,175.0288045,0.877516138,12.09250755,0.359809028
1881.08,6.2,0.3,0.4567,9.8,3.653333333,1881,8,12.34380877,167.5752449,0.852817347,11.57755102,0.343113641
1881.09,6.25,0.305,0.4525,10.18058017,3.646666667,1881,9,11.77308567,162.6116805,0.813386846,11.23462495,0.325966851
1881.1,6.15,0.31,0.4483,10.27574545,3.64,1881,10,11.55579025,158.5280171,0.798374195,10.95249007,0.308498773
1881.11,6.19,0.315,0.4442,10.18058017,3.633333333,1881,11,11.55713736,161.0506084,0.798467265,11.12677255,0.290859973
1881.12,6.01,0.32,0.44,10.18058017,3.626666667,1881,12,11.44786231,156.367392,0.790917597,10.80321535,0.272727273
1882.01,5.92,0.32,0.4392,10.18058017,3.62,1882,1,11.42704801,154.0257838,0.789479565,10.64143675,0.27140255
1882.02,5.79,0.32,0.4383,10.27574545,3.620833333,1882,2,11.29802112,149.2483283,0.780565268,10.3113687,0.269906457
1882.03,5.78,0.32,0.4375,10.27574545,3.621666667,1882,3,11.27739959,148.9905591,0.779140554,10.29355977,0.268571429
1882.04,5.78,0.32,0.4367,10.37091074,3.6225,1882,4,11.15348389,147.6233957,0.770579383,10.19910427,0.267231509
1882.05,5.71,0.32,0.4358,10.46599504,3.623333333,1882,5,11.0293762,144.5106427,0.762004947,9.984048301,0.265718219
1882.06,5.68,0.32,0.435,10.56116033,3.624166667,1882,6,10.90992764,142.4560667,0.753752405,9.842100371,0.264367816
1882.07,6,0.32,0.4342,10.46599504,3.625,1882,7,10.98888285,151.8500624,0.759207316,10.49111906,0.263012437
1882.08,6.18,0.32,0.4333,10.56116033,3.625833333,1882,8,10.86729114,154.9962134,0.750806706,10.70848245,0.261481652
1882.09,6.24,0.32,0.4325,10.27574545,3.626666667,1882,9,11.14851502,160.8479393,0.77023609,11.11277041,0.260115607
1882.1,6.07,0.32,0.4317,10.18058017,3.6275,1882,10,11.231914,157.9284641,0.775998015,10.91106775,0.258744498
1882.11,5.81,0.32,0.4308,10.08541488,3.628333333,1882,11,11.31426054,152.5901897,0.781687228,10.54225347,0.257195915
1882.12,5.84,0.32,0.43,9.990330579,3.629166667,1882,12,11.40073485,154.8378873,0.787661623,10.69754391,0.255813953
1883.01,5.81,0.3208,0.4275,9.990330579,3.63,1883,1,11.33445151,154.0424872,0.783082195,10.64259077,0.249590643
1883.02,5.68,0.3217,0.425,10.08541488,3.629166667,1883,2,11.16193298,149.1759514,0.771163119,10.30636828,0.243058824
1883.03,5.75,0.3225,0.4225,9.990330579,3.628333333,1883,3,11.20188482,152.451687,0.773923339,10.5326845,0.236686391
1883.04,5.87,0.3233,0.42,9.895165289,3.6275,1883,4,11.24269648,157.1300675,0.776742962,10.85590759,0.230238095
1883.05,5.77,0.3242,0.4175,9.8,3.626666667,1883,5,11.28430077,155.9530908,0.779617347,10.77459184,0.223473054
1883.06,5.82,0.325,0.415,9.514585124,3.625833333,1883,6,11.55320527,162.0232643,0.798195602,11.19397206,0.21686747
1883.07,5.73,0.3258,0.4125,9.324254545,3.625,1883,7,11.71801584,162.7738928,0.809582146,11.24583199,0.210181818
1883.08,5.47,0.3267,0.41,9.324254545,3.624166667,1883,8,11.64699757,155.3879919,0.804675587,10.73554991,0.203170732
1883.09,5.53,0.3275,0.4075,9.229089256,3.623333333,1883,9,11.69534442,158.7122813,0.808015807,10.96522064,0.196319018
1883.1,5.38,0.3283,0.405,9.229089256,3.6225,1883,10,11.62359384,154.4072465,0.803058654,10.66779151,0.189382716
1883.11,5.46,0.3292,0.4025,9.134004959,3.621666667,1883,11,11.67209707,158.3345341,0.806409678,10.93912259,0.182111801
1883.12,5.34,0.33,0.4,9.229089256,3.620833333,1883,12,11.48009268,153.2592373,0.79314435,10.58847707,0.175
1884.01,5.18,0.3283,0.3925,9.229089256,3.62,1884,1,11.26484094,148.6672002,0.778272894,10.27121933,0.163566879
1884.02,5.32,0.3267,0.385,9.229089256,3.611666667,1884,2,11.0495892,152.6852326,0.763401437,10.54881986,0.151428571
1884.03,5.3,0.325,0.3775,9.229089256,3.603333333,1884,3,10.83433747,152.111228,0.74852998,10.50916264,0.139072848
1884.04,5.06,0.3233,0.37,9.038839669,3.595,1884,4,10.84259635,148.2798312,0.749100576,10.24445652,0.126216216
1884.05,4.65,0.3217,0.3625,8.848509091,3.586666667,1884,5,10.8513097,139.1961106,0.749702569,9.616874337,0.112551724
1884.06,4.46,0.32,0.355,8.848509091,3.578333333,1884,6,10.62679984,133.5085276,0.734191482,9.223926784,0.098591549
1884.07,4.46,0.3183,0.3475,8.753424793,3.57,1884,7,10.51528512,134.9587673,0.726487078,9.324121921,0.084028777
1884.08,4.74,0.3167,0.34,8.753424793,3.561666667,1884,8,10.28833652,143.4315151,0.710807501,9.909492804,0.068529412
1884.09,4.59,0.315,0.3325,8.658259504,3.553333333,1884,9,10.17197538,140.4191488,0.702768264,9.701372425,0.052631579
1884.1,4.44,0.3133,0.325,8.563094215,3.545,1884,10,10.05302789,137.3398272,0.69455034,9.488626186,0.036
1884.11,4.35,0.3117,0.3175,8.372844628,3.536666667,1884,11,10.04419062,137.6133203,0.693939785,9.507521462,0.018267717
1884.12,4.34,0.31,0.31,8.277679339,3.528333333,1884,12,9.919672729,138.8754182,0.685337009,9.594718127,0
1885.01,4.24,0.3042,0.3067,8.277679339,3.52,1885,1,9.814076213,135.6755238,0.678041486,9.373641672,0.008151288
1885.02,4.37,0.2983,0.3033,8.372844628,3.5075,1885,2,9.594970129,138.2460253,0.662903738,9.551234205,0.016485328
1885.03,4.38,0.2925,0.3,8.18251405,3.495,1885,3,9.711330713,141.7854284,0.670942936,9.795766865,0.025
1885.04,4.37,0.2867,0.2967,8.277679339,3.4825,1885,4,9.49408677,139.8353865,0.655933841,9.661041063,0.033704078
1885.05,4.32,0.2808,0.2933,8.087381157,3.47,1885,5,9.606128683,141.4881552,0.663674667,9.775228651,0.042618479
1885.06,4.3,0.275,0.29,7.897091074,3.4575,1885,6,9.726914541,144.2266639,0.672019602,9.96442858,0.051724138
1885.07,4.46,0.2692,0.2867,7.992232066,3.445,1885,7,9.501755614,147.8124522,0.656463671,10.21216593,0.061039414
1885.08,4.71,0.2633,0.2833,7.992232066,3.4325,1885,8,9.389073475,156.0979035,0.648678612,10.78459675,0.070596541
1885.09,4.65,0.2575,0.28,7.897091074,3.42,1885,9,9.391503695,155.9660435,0.648846512,10.77548672,0.080357143
1885.1,4.92,0.2517,0.2767,7.897091074,3.4075,1885,10,9.280818116,165.0221364,0.641199393,11.40116014,0.09035056
1885.11,5.24,0.2458,0.2733,7.992232066,3.395,1885,11,9.057655421,173.6630604,0.625781379,11.9981501,0.100622027
1885.12,5.2,0.24,0.27,8.18251405,3.3825,1885,12,8.740197641,168.3297324,0.603848642,11.62967756,0.111111111
1886.01,5.2,0.2383,0.275,7.992232066,3.37,1886,1,9.11399649,172.3373882,0.629673908,11.90656117,0.133454545
1886.02,5.3,0.2367,0.28,7.992232066,3.3825,1886,2,9.279705517,175.6515687,0.641122525,12.1355335,0.154642857
1886.03,5.19,0.235,0.285,7.897091074,3.395,1886,3,9.559209118,174.0782292,0.660433057,12.02683357,0.175438596
1886.04,5.12,0.2333,0.29,7.801941983,3.4075,1886,4,9.84553976,173.824702,0.680215261,12.00931771,0.195517241
1886.05,5.02,0.2317,0.295,7.611651901,3.42,1886,5,10.26567111,174.6904033,0.709241577,12.06912786,0.214576271
1886.06,5.25,0.23,0.3,7.51650281,3.4325,1886,6,10.57181804,185.0068157,0.730392862,12.78187509,0.233333333
1886.07,5.33,0.2283,0.305,7.611651901,3.445,1886,7,10.61365996,185.4780576,0.733283665,12.81443257,0.25147541
1886.08,5.37,0.2267,0.31,7.706792893,3.4575,1886,8,10.6544799,184.5630874,0.73610386,12.75121849,0.268709677
1886.09,5.51,0.225,0.315,7.706792893,3.47,1886,9,10.82632635,189.374788,0.747976503,13.08365249,0.285714286
1886.1,5.65,0.2233,0.32,7.706792893,3.4825,1886,10,10.9981728,194.1864886,0.759849146,13.41608649,0.3021875
1886.11,5.79,0.2217,0.325,7.706792893,3.495,1886,11,11.17001925,198.9981892,0.771721789,13.74852049,0.317846154
1886.12,5.64,0.22,0.33,7.801941983,3.5075,1886,12,11.20354524,191.4787733,0.774038055,13.22901404,0.333333333
1887.01,5.58,0.2225,0.3325,7.992232066,3.52,1887,1,11.0196503,184.9312742,0.761332998,12.77665603,0.330827068
1887.02,5.54,0.225,0.335,8.087381157,3.5325,1887,2,10.9718824,181.4454582,0.758032777,12.53582563,0.328358209
1887.03,5.67,0.2275,0.3375,8.087381157,3.545,1887,3,11.05376212,185.7032037,0.763689738,12.8299876,0.325925926
1887.04,5.8,0.23,0.34,8.087381157,3.5575,1887,4,11.13564184,189.9609491,0.769346699,13.12414958,0.323529412
1887.05,5.9,0.2325,0.3425,8.087381157,3.57,1887,5,11.21752156,193.2361378,0.77500366,13.35042802,0.321167883
1887.06,5.73,0.235,0.345,7.992232066,3.5825,1887,6,11.43392287,189.9025451,0.789954539,13.12011452,0.31884058
1887.07,5.59,0.2375,0.3475,7.897091074,3.595,1887,7,11.65552691,187.4946631,0.805264868,12.95375715,0.316546763
1887.08,5.45,0.24,0.35,7.992232066,3.6075,1887,8,11.5996319,180.6228395,0.801403156,12.478992,0.314285714
1887.09,5.38,0.2425,0.3525,7.897091074,3.62,1887,9,11.82323233,180.4510353,0.816851413,12.46712227,0.312056738
1887.1,5.2,0.245,0.355,7.992232066,3.6325,1887,10,11.76534092,172.3373882,0.812851772,11.90656117,0.309859155
1887.11,5.3,0.2475,0.3575,8.087381157,3.645,1887,11,11.70879988,173.5850052,0.808945427,11.99275737,0.307692308
1887.12,5.27,0.25,0.36,8.277679339,3.6575,1887,12,11.51961994,168.6344364,0.795875236,11.65072915,0.305555556
1888.01,5.31,0.2483,0.3517,8.372844628,3.67,1888,1,11.12611604,167.9831566,0.768688574,11.6057331,0.294000569
1888.02,5.28,0.2467,0.3433,8.277679339,3.651666667,1888,2,10.98523757,168.9544258,0.758955468,11.6728368,0.281386542
1888.03,5.08,0.245,0.335,8.277679339,3.633333333,1888,3,10.71964634,162.554637,0.740606123,11.23068389,0.268656716
1888.04,5.1,0.2433,0.3267,8.18251405,3.615,1888,4,10.57563915,165.0926221,0.730656857,11.40602991,0.255280073
1888.05,5.17,0.2417,0.3183,8.087381157,3.596666667,1888,5,10.42492588,169.3272598,0.720244278,11.6985954,0.240653472
1888.06,5.01,0.24,0.31,7.992232066,3.578333333,1888,6,10.27395968,166.0404452,0.709814224,11.47151375,0.225806452
1888.07,5.14,0.2383,0.3017,8.087381157,3.56,1888,7,9.88124454,168.3447031,0.682682057,11.63071187,0.210142526
1888.08,5.25,0.2367,0.2933,8.087381157,3.541666667,1888,8,9.606128683,171.9474108,0.663674667,11.87961815,0.192976475
1888.09,5.38,0.235,0.285,8.087381157,3.523333333,1888,9,9.334288014,176.2051562,0.644893557,12.17378013,0.175438596
1888.1,5.35,0.2333,0.2767,8.18251405,3.505,1888,10,8.957084027,173.1853977,0.618833035,11.96514902,0.156848572
1888.11,5.24,0.2317,0.2683,8.277679339,3.486666667,1888,11,8.585316752,167.6744681,0.593148128,11.58440622,0.136414461
1888.12,5.14,0.23,0.26,8.277679339,3.468333333,1888,12,8.319725515,164.4745736,0.574798782,11.36332976,0.115384615
1889.01,5.24,0.2292,0.2633,7.992232066,3.45,1889,1,8.726237367,173.6630604,0.602884146,11.9981501,0.129510065
1889.02,5.3,0.2283,0.2667,7.897091074,3.4475,1889,2,8.945407269,177.7677485,0.618026303,12.28173755,0.143982002
